Table of contents,,,,,,
"Table CLIENTS.20: Clients, by reasons for seeking assistance, 2019–20",,,,,,
,,,,,,
"State/
territory",Group,Reason for seeking assistance,Males,Females,Total clients (number),Total clients (per cent)
Qld,Interpersonal relationships,Family and domestic violence,"3,260","10,961","14,221",33.0
Qld,Interpersonal relationships,Non-family violence,359,657,"1,016",2.4
Qld,Health,Health,"4,585","5,382","9,967",23.1
Qld,Health,Mental health issues,"2,919","3,653","6,572",15.3
Qld,Health,Medical issues,"1,815","2,213","4,028",9.4
Qld,Health,Problematic drug or substance use,"1,304","1,001","2,305",5.4
Qld,Health,Problematic alcohol use,650,497,"1,147",2.7
Qld,Other,Other,"7,130","9,140","16,270",37.8
Qld,Other,Transition from custodial arrangements,695,227,922,2.1
Qld,Other,Transition from foster care and child safety residential placements,81,98,179,0.4
Qld,Other,Transition from other care arrangements,168,149,317,0.7
Qld,Other,Discrimination including racial discrimination,70,106,176,0.4
Qld,Other,Itinerant,720,516,"1,236",2.9
Qld,Other,Unable to return home due to environmental reasons,333,470,803,1.9
Qld,Other,Disengagement with school or other education and training,171,286,457,1.1
Qld,Other,Lack of family and/or community support,"4,470","6,213","10,683",24.8
Qld,Other,Other,"2,421","3,234","5,655",13.1
Qld,Not stated,Not stated,21,18,39,. .
WA,Financial,Financial,"4,445","6,109","10,554",42.3
WA,Financial,Financial difficulties,"3,585","5,026","8,611",34.5
WA,Financial,Housing affordability stress,"2,081","2,749","4,830",19.4
WA,Financial,Employment difficulties,470,408,878,3.5
WA,Financial,Unemployment,"1,543","1,603","3,146",12.6
WA,Financial,Problematic gambling,13,12,25,0.1
WA,Accommodation,Accommodation,"3,905","5,174","9,079",36.4
WA,Accommodation,Housing crisis,"2,135","2,954","5,089",20.4
WA,Accommodation,Inadequate or inappropriate dwelling conditions,"2,002","2,550","4,552",18.3
WA,Accommodation,Previous accommodation ended,"1,502","1,746","3,248",13.0
WA,Interpersonal relationships,Interpersonal relationships,"3,889","9,496","13,385",53.7
WA,Interpersonal relationships,Time out from family/other situation,"1,391","2,645","4,036",16.2
WA,Interpersonal relationships,Relationship/family breakdown,"1,818","3,991","5,809",23.3
WA,Interpersonal relationships,Sexual abuse,58,582,640,2.6
WA,Interpersonal relationships,Family and domestic violence,"2,208","7,587","9,795",39.3
WA,Interpersonal relationships,Non-family violence,261,515,776,3.1
WA,Health,Health,"2,708","3,933","6,641",26.6
WA,Health,Mental health issues,"1,308","2,010","3,318",13.3
WA,Health,Medical issues,"1,229","1,626","2,855",11.5
WA,Health,Problematic drug or substance use,890,"1,088","1,978",7.9
WA,Health,Problematic alcohol use,455,646,"1,101",4.4
WA,Other,Other,"4,631","6,212","10,843",43.5
WA,Other,Transition from custodial arrangements,269,127,396,1.6
WA,Other,Transition from foster care and child safety residential placements,50,62,112,0.4
WA,Other,Transition from other care arrangements,98,118,216,0.9
WA,Other,Discrimination including racial discrimination,31,40,71,0.3
WA,Other,Itinerant,766,635,"1,401",5.6
WA,Other,Unable to return home due to environmental reasons,190,364,554,2.2
WA,Other,Disengagement with school or other education and training,141,176,317,1.3
WA,Other,Lack of family and/or community support,"2,259","3,477","5,736",23.0
WA,Other,Other,"1,973","2,583","4,556",18.3
WA,Not stated,Not stated,10,22,32,. .
SA,Financial,Financial,"2,712","3,401","6,113",31.8
SA,Financial,Financial difficulties,"1,816","2,493","4,309",22.4
SA,Financial,Housing affordability stress,957,"1,334","2,291",11.9
SA,Financial,Employment difficulties,372,333,705,3.7
SA,Financial,Unemployment,"1,257","1,128","2,385",12.4
SA,Financial,Problematic gambling,38,23,61,0.3
SA,Accommodation,Accommodation,"5,781","7,338","13,119",68.3
SA,Accommodation,Housing crisis,"4,039","5,323","9,362",48.7
SA,Accommodation,Inadequate or inappropriate dwelling conditions,"2,291","2,658","4,949",25.8
SA,Accommodation,Previous accommodation ended,809,"1,041","1,850",9.6
SA,Interpersonal relationships,Interpersonal relationships,"2,117","6,261","8,378",43.6
SA,Interpersonal relationships,Time out from family/other situation,272,488,760,4.0
SA,Interpersonal relationships,Relationship/family breakdown,"1,012","1,602","2,614",13.6
SA,Interpersonal relationships,Sexual abuse,27,158,185,1.0
SA,Interpersonal relationships,Family and domestic violence,"1,052","4,898","5,950",31.0
SA,Interpersonal relationships,Non-family violence,65,110,175,0.9
SA,Health,Health,"2,461","3,031","5,492",28.6
SA,Health,Mental health issues,"1,724","2,420","4,144",21.6
SA,Health,Medical issues,825,973,"1,798",9.4
SA,Health,Problematic drug or substance use,681,497,"1,178",6.1
SA,Health,Problematic alcohol use,343,215,558,2.9
SA,Other,Other,"2,586","2,886","5,472",28.5
SA,Other,Transition from custodial arrangements,507,149,656,3.4
SA,Other,Transition from foster care and child safety residential placements,15,25,40,0.2
SA,Other,Transition from other care arrangements,83,71,154,0.8
SA,Other,Discrimination including racial discrimination,55,80,135,0.7
SA,Other,Itinerant,717,573,"1,290",6.7
SA,Other,Unable to return home due to environmental reasons,195,311,506,2.6
SA,Other,Disengagement with school or other education and training,261,403,664,3.5
SA,Other,Lack of family and/or community support,"1,119","1,582","2,701",14.1
SA,Other,Other,337,542,879,4.6
SA,Not stated,Not stated,—,—,—,—
Tas,Financial,Financial,"1,723","2,146","3,869",60.1
Tas,Financial,Financial difficulties,"1,291","1,615","2,906",45.1
Tas,Financial,Housing affordability stress,"1,234","1,607","2,841",44.1
Tas,Financial,Employment difficulties,143,119,262,4.1
Tas,Financial,Unemployment,478,388,866,13.4
Tas,Financial,Problematic gambling,9,7,16,0.2
Tas,Accommodation,Accommodation,"2,220","2,761","4,981",77.3
Tas,Accommodation,Housing crisis,"1,401","1,793","3,194",49.6
Tas,Accommodation,Inadequate or inappropriate dwelling conditions,"1,248","1,409","2,657",41.3
Tas,Accommodation,Previous accommodation ended,"1,111","1,362","2,473",38.4
Tas,Interpersonal relationships,Interpersonal relationships,"1,294","2,096","3,390",52.6
Tas,Interpersonal relationships,Time out from family/other situation,595,776,"1,371",21.3
Tas,Interpersonal relationships,Relationship/family breakdown,846,"1,219","2,065",32.1
Tas,Interpersonal relationships,Sexual abuse,16,70,86,1.3
Tas,Interpersonal relationships,Family and domestic violence,355,"1,205","1,560",24.2
Tas,Interpersonal relationships,Non-family violence,148,223,371,5.8
Tas,Health,Health,"1,291","1,459","2,750",42.7
Tas,Health,Mental health issues,983,"1,217","2,200",34.2
Tas,Health,Medical issues,504,553,"1,057",16.4
Tas,Health,Problematic drug or substance use,315,184,499,7.7
Tas,Health,Problematic alcohol use,162,73,235,3.6
Tas,Other,Other,"1,662","1,911","3,573",55.5
Tas,Other,Transition from custodial arrangements,189,62,251,3.9
Tas,Other,Transition from foster care and child safety residential placements,13,19,32,0.5
Tas,Other,Transition from other care arrangements,109,56,165,2.6
Tas,Other,Discrimination including racial discrimination,10,15,25,0.4
Tas,Other,Itinerant,421,365,786,12.2
Tas,Other,Unable to return home due to environmental reasons,100,100,200,3.1
Tas,Other,Disengagement with school or other education and training,44,45,89,1.4
Tas,Other,Lack of family and/or community support,"1,225","1,514","2,739",42.5
Tas,Other,Other,226,255,481,7.5
Tas,Not stated,Not stated,2,2,4,. .
ACT,Financial,Financial,"1,180","1,553","2,733",66.1
ACT,Financial,Financial difficulties,845,"1,211","2,056",49.7
ACT,Financial,Housing affordability stress,840,"1,109","1,949",47.1
ACT,Financial,Employment difficulties,240,277,517,12.5
ACT,Financial,Unemployment,452,448,900,21.8
ACT,Financial,Problematic gambling,3,4,7,0.2
ACT,Accommodation,Accommodation,"1,329","1,624","2,953",71.4
ACT,Accommodation,Housing crisis,857,989,"1,846",44.6
ACT,Accommodation,Inadequate or inappropriate dwelling conditions,779,990,"1,769",42.8
ACT,Accommodation,Previous accommodation ended,537,677,"1,214",29.4
ACT,Interpersonal relationships,Interpersonal relationships,857,"1,466","2,323",56.2
ACT,Interpersonal relationships,Time out from family/other situation,256,454,710,17.2
ACT,Interpersonal relationships,Relationship/family breakdown,665,"1,050","1,715",41.5
ACT,Interpersonal relationships,Sexual abuse,24,89,113,2.7
ACT,Interpersonal relationships,Family and domestic violence,414,"1,003","1,417",34.3
ACT,Interpersonal relationships,Non-family violence,61,98,159,3.8
ACT,Health,Health,704,926,"1,630",39.4
ACT,Health,Mental health issues,506,720,"1,226",29.6
ACT,Health,Medical issues,277,352,629,15.2
ACT,Health,Problematic drug or substance use,177,192,369,8.9
ACT,Health,Problematic alcohol use,109,82,191,4.6
ACT,Other,Other,907,"1,172","2,079",50.3
ACT,Other,Transition from custodial arrangements,112,59,171,4.1
ACT,Other,Transition from foster care and child safety residential placements,9,11,20,0.5
ACT,Other,Transition from other care arrangements,63,39,102,2.5
ACT,Other,Discrimination including racial discrimination,20,33,53,1.3
ACT,Other,Itinerant,56,39,95,2.3
ACT,Other,Unable to return home due to environmental reasons,75,142,217,5.2
ACT,Other,Disengagement with school or other education and training,28,50,78,1.9
ACT,Other,Lack of family and/or community support,549,900,"1,449",35.0
ACT,Other,Other,283,316,599,14.5
ACT,Not stated,Not stated,6,2,8,. .
NT,Financial,Financial,"1,052","1,604","2,656",29.4
NT,Financial,Financial difficulties,793,"1,213","2,006",22.2
NT,Financial,Housing affordability stress,532,722,"1,254",13.9
NT,Financial,Employment difficulties,241,153,394,4.4
NT,Financial,Unemployment,366,391,757,8.4
NT,Financial,Problematic gambling,11,17,28,0.3
NT,Accommodation,Accommodation,"1,246","1,963","3,209",35.5
NT,Accommodation,Housing crisis,575,986,"1,561",17.3
NT,Accommodation,Inadequate or inappropriate dwelling conditions,707,"1,134","1,841",20.4
NT,Accommodation,Previous accommodation ended,277,385,662,7.3
NT,Interpersonal relationships,Interpersonal relationships,"1,573","4,064","5,637",62.3
NT,Interpersonal relationships,Time out from family/other situation,721,"1,245","1,966",21.7
NT,Interpersonal relationships,Relationship/family breakdown,380,"1,003","1,383",15.3
NT,Interpersonal relationships,Sexual abuse,15,169,184,2.0
NT,Interpersonal relationships,Family and domestic violence,894,"3,261","4,155",46.0
NT,Interpersonal relationships,Non-family violence,52,217,269,3.0
NT,Health,Health,532,778,"1,310",14.5
NT,Health,Mental health issues,202,267,469,5.2
NT,Health,Medical issues,190,298,488,5.4
NT,Health,Problematic drug or substance use,146,145,291,3.2
NT,Health,Problematic alcohol use,181,273,454,5.0
NT,Other,Other,"1,223","2,031","3,254",36.0
NT,Other,Transition from custodial arrangements,128,36,164,1.8
NT,Other,Transition from foster care and child safety residential placements,19,47,66,0.7
NT,Other,Transition from other care arrangements,29,49,78,0.9
NT,Other,Discrimination including racial discrimination,7,4,11,0.1
NT,Other,Itinerant,197,152,349,3.9
NT,Other,Unable to return home due to environmental reasons,42,148,190,2.1
NT,Other,Disengagement with school or other education and training,33,76,109,1.2
NT,Other,Lack of family and/or community support,549,"1,168","1,717",19.0
NT,Other,Other,476,764,"1,240",13.7
NT,Not stated,Not stated,607,628,"1,235",. .
,,,,,,
Notes,,,,,,
"1.   A record of all reasons a client has presented to any specialist homelessness agency during the reporting year. The number of reasons  is greater than the number of clients because a client can specify multiple reasons for
     seeking assistance. However each individual reason is counted only once per client across support periods.",,,,,,
2.  The reason group is a count of unique clients within all categories in the group; therefore it is not the sum of the components.,,,,,,
"3.  Percentages have been calculated using total number of clients as the denominator (less not stated): Aust 287,517, NSW 69,248, Vic 114,803, Qld 43,055, WA 24,924, SA 19,218, Tas 6,440, ACT 4,135, NT 9,042.",,,,,,
—     nil or rounded to zero,,,,,,
. .      not applicable,,,,,,
,,,,,,
